run_id,condition,spec_name,code_path,n_hallucinated_handlabel
main_001__agent_education_system__antigravity__rep01,antigravity,agent_education_system,data/raw/main_001__agent_education_system__antigravity__rep01/antigravity/code,
main_001__agent_education_system__antigravity__rep05,antigravity,agent_education_system,data/raw/main_001__agent_education_system__antigravity__rep05/antigravity/code,
main_001__agent_education_system__antigravity__rep07,antigravity,agent_education_system,data/raw/main_001__agent_education_system__antigravity__rep07/antigravity/code,
main_001__agent_education_system__claude_code__rep03,claude_code,agent_education_system,data/raw/main_001__agent_education_system__claude_code__rep03/claude_code/code,
main_001__agent_education_system__claude_code__rep04,claude_code,agent_education_system,data/raw/main_001__agent_education_system__claude_code__rep04/claude_code/code,
main_001__agent_education_system__cursor_agent__rep01,cursor_agent,agent_education_system,data/raw/main_001__agent_education_system__cursor_agent__rep01/cursor_agent/code,
main_001__agent_education_system__cursor_agent__rep03,cursor_agent,agent_education_system,data/raw/main_001__agent_education_system__cursor_agent__rep03/cursor_agent/code,
main_001__agent_education_system__cursor_agent__rep04,cursor_agent,agent_education_system,data/raw/main_001__agent_education_system__cursor_agent__rep04/cursor_agent/code,
main_001__agent_education_system__cursor_agent__rep07,cursor_agent,agent_education_system,data/raw/main_001__agent_education_system__cursor_agent__rep07/cursor_agent/code,
main_001__agent_education_system__replit_agent__rep04,replit_agent,agent_education_system,data/raw/main_001__agent_education_system__replit_agent__rep04/replit_agent/code,
main_001__agent_education_system__replit_agent__rep09,replit_agent,agent_education_system,data/raw/main_001__agent_education_system__replit_agent__rep09/replit_agent/code,
main_001__data_pipeline__antigravity__rep01,antigravity,data_pipeline,data/raw/main_001__data_pipeline__antigravity__rep01/antigravity/code,
main_001__data_pipeline__antigravity__rep04,antigravity,data_pipeline,data/raw/main_001__data_pipeline__antigravity__rep04/antigravity/code,
main_001__data_pipeline__claude_code__rep05,claude_code,data_pipeline,data/raw/main_001__data_pipeline__claude_code__rep05/claude_code/code,
main_001__data_pipeline__claude_code__rep07,claude_code,data_pipeline,data/raw/main_001__data_pipeline__claude_code__rep07/claude_code/code,
main_001__data_pipeline__claude_code__rep08,claude_code,data_pipeline,data/raw/main_001__data_pipeline__claude_code__rep08/claude_code/code,
main_001__data_pipeline__claude_code__rep09,claude_code,data_pipeline,data/raw/main_001__data_pipeline__claude_code__rep09/claude_code/code,
main_001__data_pipeline__cursor_agent__rep01,cursor_agent,data_pipeline,data/raw/main_001__data_pipeline__cursor_agent__rep01/cursor_agent/code,
main_001__data_pipeline__cursor_agent__rep05,cursor_agent,data_pipeline,data/raw/main_001__data_pipeline__cursor_agent__rep05/cursor_agent/code,
main_001__data_pipeline__replit_agent__rep01,replit_agent,data_pipeline,data/raw/main_001__data_pipeline__replit_agent__rep01/replit_agent/code,
main_001__data_pipeline__replit_agent__rep03,replit_agent,data_pipeline,data/raw/main_001__data_pipeline__replit_agent__rep03/replit_agent/code,
main_001__data_pipeline__replit_agent__rep06,replit_agent,data_pipeline,data/raw/main_001__data_pipeline__replit_agent__rep06/replit_agent/code,
main_001__data_pipeline__replit_agent__rep09,replit_agent,data_pipeline,data/raw/main_001__data_pipeline__replit_agent__rep09/replit_agent/code,
main_001__internal_tool_cli__antigravity__rep01,antigravity,internal_tool_cli,data/raw/main_001__internal_tool_cli__antigravity__rep01/antigravity/code,
main_001__internal_tool_cli__antigravity__rep06,antigravity,internal_tool_cli,data/raw/main_001__internal_tool_cli__antigravity__rep06/antigravity/code,
main_001__internal_tool_cli__antigravity__rep07,antigravity,internal_tool_cli,data/raw/main_001__internal_tool_cli__antigravity__rep07/antigravity/code,
main_001__internal_tool_cli__cursor_agent__rep04,cursor_agent,internal_tool_cli,data/raw/main_001__internal_tool_cli__cursor_agent__rep04/cursor_agent/code,
main_001__internal_tool_cli__replit_agent__rep02,replit_agent,internal_tool_cli,data/raw/main_001__internal_tool_cli__replit_agent__rep02/replit_agent/code,
main_001__internal_tool_cli__replit_agent__rep06,replit_agent,internal_tool_cli,data/raw/main_001__internal_tool_cli__replit_agent__rep06/replit_agent/code,
main_001__internal_tool_cli__replit_agent__rep07,replit_agent,internal_tool_cli,data/raw/main_001__internal_tool_cli__replit_agent__rep07/replit_agent/code,
