item_id,spec_name,n_runs_covered,run_ids,n_files
item_01,agent_education_system,3,main_001__agent_education_system__antigravity__rep01;main_001__agent_education_system__antigravity__rep05;main_001__agent_education_system__antigravity__rep07,2
item_02,agent_education_system,1,main_001__agent_education_system__claude_code__rep03,2
item_03,agent_education_system,1,main_001__agent_education_system__claude_code__rep04,2
item_04,agent_education_system,1,main_001__agent_education_system__cursor_agent__rep01,0
item_05,agent_education_system,1,main_001__agent_education_system__cursor_agent__rep03,19
item_06,agent_education_system,1,main_001__agent_education_system__cursor_agent__rep04,21
item_07,agent_education_system,1,main_001__agent_education_system__cursor_agent__rep07,9
item_08,agent_education_system,2,main_001__agent_education_system__replit_agent__rep04;main_001__agent_education_system__replit_agent__rep09,83
item_09,data_pipeline,2,main_001__data_pipeline__antigravity__rep01;main_001__data_pipeline__antigravity__rep04,10
item_10,data_pipeline,1,main_001__data_pipeline__claude_code__rep05,3
item_11,data_pipeline,1,main_001__data_pipeline__claude_code__rep07,4
item_12,data_pipeline,1,main_001__data_pipeline__claude_code__rep08,3
item_13,data_pipeline,1,main_001__data_pipeline__claude_code__rep09,4
item_14,data_pipeline,1,main_001__data_pipeline__cursor_agent__rep01,3
item_15,data_pipeline,1,main_001__data_pipeline__cursor_agent__rep05,3
item_16,data_pipeline,4,main_001__data_pipeline__replit_agent__rep01;main_001__data_pipeline__replit_agent__rep03;main_001__data_pipeline__replit_agent__rep06;main_001__data_pipeline__replit_agent__rep09,26
item_17,internal_tool_cli,3,main_001__internal_tool_cli__antigravity__rep01;main_001__internal_tool_cli__antigravity__rep06;main_001__internal_tool_cli__antigravity__rep07,6
item_18,internal_tool_cli,1,main_001__internal_tool_cli__cursor_agent__rep04,13
item_19,internal_tool_cli,3,main_001__internal_tool_cli__replit_agent__rep02;main_001__internal_tool_cli__replit_agent__rep06;main_001__internal_tool_cli__replit_agent__rep07,10
