item_id,block,presented_spec,true_spec,condition,run_id,digest,n_files,expected_kind
item_01,control,data_pipeline,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep03,85dcf6999846,1,no
item_02,naturalistic,internal_tool_cli,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep03,c2056fca4647,13,yes
item_03,naturalistic,agent_education_system,agent_education_system,cursor_agent,main_001__agent_education_system__cursor_agent__rep00,48e05572c3c9,12,yes
item_04,naturalistic,data_pipeline,data_pipeline,claude_code,main_001__data_pipeline__claude_code__rep02,5d40e371dfe1,4,yes
item_05,naturalistic,internal_tool_cli,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep00,2e51d06c1334,9,yes
item_06,control,internal_tool_cli,agent_education_system,cursor_agent,main_001__agent_education_system__cursor_agent__rep08,8c8dd89d4b23,3,no
item_07,naturalistic,agent_education_system,agent_education_system,cursor_agent,main_001__agent_education_system__cursor_agent__rep02,71dcc2d5ba12,2,yes
item_08,naturalistic,agent_education_system,agent_education_system,claude_code,main_001__agent_education_system__claude_code__rep06,de398825253f,3,yes
item_09,naturalistic,data_pipeline,data_pipeline,cursor_agent,main_001__data_pipeline__cursor_agent__rep08,2548d2e0d41f,3,yes
item_10,naturalistic,data_pipeline,data_pipeline,claude_code,main_001__data_pipeline__claude_code__rep06,050cbae0c2ae,3,yes
item_11,naturalistic,internal_tool_cli,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep07,1afc699fc159,6,yes
item_12,naturalistic,internal_tool_cli,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep04,443076e56aff,1,yes
item_13,naturalistic,data_pipeline,data_pipeline,cursor_agent,main_001__data_pipeline__cursor_agent__rep02,e476886f549f,14,yes
item_14,naturalistic,data_pipeline,data_pipeline,cursor_agent,main_001__data_pipeline__cursor_agent__rep00,45b8d1daa3d0,12,yes
item_15,naturalistic,agent_education_system,agent_education_system,cursor_agent,main_001__agent_education_system__cursor_agent__rep09,0f52b6a54ee6,14,yes
item_16,naturalistic,agent_education_system,agent_education_system,claude_code,main_001__agent_education_system__claude_code__rep01,70e5459e7f17,2,yes
item_17,naturalistic,data_pipeline,data_pipeline,claude_code,main_001__data_pipeline__claude_code__rep01,404ddd899b90,4,yes
item_18,control,data_pipeline,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep05,7fe2ebe256b5,12,no
item_19,naturalistic,agent_education_system,agent_education_system,claude_code,main_001__agent_education_system__claude_code__rep07,81c7337de4ca,3,yes
item_20,naturalistic,data_pipeline,data_pipeline,claude_code,main_001__data_pipeline__claude_code__rep04,f30f671b0f03,4,yes
item_21,naturalistic,data_pipeline,data_pipeline,cursor_agent,main_001__data_pipeline__cursor_agent__rep04,608c4a4087df,3,yes
item_22,naturalistic,agent_education_system,agent_education_system,cursor_agent,main_001__agent_education_system__cursor_agent__rep06,e561db204da3,3,yes
item_23,naturalistic,agent_education_system,agent_education_system,claude_code,main_001__agent_education_system__claude_code__rep09,8d953425453b,2,yes
item_24,naturalistic,internal_tool_cli,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep09,3d6c5f982a5e,1,yes
item_25,naturalistic,internal_tool_cli,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep01,95b3add5e1e6,1,yes
item_26,control,agent_education_system,data_pipeline,claude_code,main_001__data_pipeline__claude_code__rep03,7657f76d0f29,4,no
item_27,naturalistic,internal_tool_cli,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep08,fad5d579a67d,7,yes
item_28,naturalistic,internal_tool_cli,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep05,85c457635e01,1,yes
item_29,control,data_pipeline,internal_tool_cli,claude_code,main_001__internal_tool_cli__claude_code__rep00,7b75c2db5b31,1,no
item_30,control,data_pipeline,internal_tool_cli,cursor_agent,main_001__internal_tool_cli__cursor_agent__rep06,cf0ee10be371,7,no
