run_id,metric,value
main_001__agent_education_system__claude_code__rep00,hallucinations,0.0
main_001__agent_education_system__claude_code__rep01,hallucinations,0.0
main_001__agent_education_system__claude_code__rep02,hallucinations,0.0
main_001__agent_education_system__claude_code__rep03,hallucinations,0.0
main_001__agent_education_system__claude_code__rep04,hallucinations,0.0
main_001__agent_education_system__claude_code__rep05,hallucinations,0.0
main_001__agent_education_system__claude_code__rep06,hallucinations,0.0
main_001__agent_education_system__claude_code__rep07,hallucinations,0.0
main_001__agent_education_system__claude_code__rep08,hallucinations,0.0
main_001__agent_education_system__claude_code__rep09,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep00,hallucinations,1.0
main_001__agent_education_system__cursor_agent__rep01,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep02,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep03,hallucinations,1.0
main_001__agent_education_system__cursor_agent__rep04,hallucinations,2.0
main_001__agent_education_system__cursor_agent__rep05,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep06,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep07,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep08,hallucinations,0.0
main_001__agent_education_system__cursor_agent__rep09,hallucinations,1.0
main_001__data_pipeline__claude_code__rep00,hallucinations,0.0
main_001__data_pipeline__claude_code__rep01,hallucinations,0.0
main_001__data_pipeline__claude_code__rep02,hallucinations,0.0
main_001__data_pipeline__claude_code__rep03,hallucinations,0.0
main_001__data_pipeline__claude_code__rep04,hallucinations,0.0
main_001__data_pipeline__claude_code__rep05,hallucinations,0.0
main_001__data_pipeline__claude_code__rep06,hallucinations,0.0
main_001__data_pipeline__claude_code__rep07,hallucinations,0.0
main_001__data_pipeline__claude_code__rep08,hallucinations,0.0
main_001__data_pipeline__claude_code__rep09,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep00,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep01,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep02,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep03,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep04,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep05,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep06,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep07,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep08,hallucinations,0.0
main_001__data_pipeline__cursor_agent__rep09,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep00,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep01,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep02,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep03,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep04,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep05,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep06,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep07,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep08,hallucinations,0.0
main_001__internal_tool_cli__claude_code__rep09,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep00,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep01,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep02,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep03,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep04,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep05,hallucinations,0.0
main_001__internal_tool_cli__cursor_agent__rep06,hallucinations,0.0
