condition,spec_name,rep,security_density_published,security_density_corrected
antigravity,agent_education_system,rep00,4.4248,4.4248
antigravity,agent_education_system,rep01,4.4248,4.4248
antigravity,agent_education_system,rep02,4.4248,4.4248
antigravity,agent_education_system,rep03,4.4248,4.4248
antigravity,agent_education_system,rep04,4.4248,4.4248
antigravity,agent_education_system,rep05,4.4248,4.4248
antigravity,agent_education_system,rep06,4.4248,4.4248
antigravity,agent_education_system,rep07,4.4248,4.4248
antigravity,agent_education_system,rep08,4.4248,4.4248
antigravity,agent_education_system,rep09,4.4248,4.4248
claude_code,agent_education_system,rep00,95.2381,19.8413
claude_code,agent_education_system,rep01,129.4118,47.0588
claude_code,agent_education_system,rep02,69.6517,29.8507
claude_code,agent_education_system,rep03,89.4737,31.5789
claude_code,agent_education_system,rep04,98.8372,17.4419
claude_code,agent_education_system,rep05,130.2083,20.8333
claude_code,agent_education_system,rep06,99.5025,19.9005
claude_code,agent_education_system,rep07,119.0476,23.8095
claude_code,agent_education_system,rep08,98.8372,23.2558
claude_code,agent_education_system,rep09,88.785,18.6916
cursor_agent,agent_education_system,rep00,67.1296,18.5185
cursor_agent,agent_education_system,rep01,0.0,0.0
cursor_agent,agent_education_system,rep02,89.6226,18.8679
cursor_agent,agent_education_system,rep03,64.9819,12.6354
cursor_agent,agent_education_system,rep04,59.6798,10.1892
cursor_agent,agent_education_system,rep05,0.0,0.0
cursor_agent,agent_education_system,rep06,92.0502,16.7364
cursor_agent,agent_education_system,rep07,57.8358,14.9254
cursor_agent,agent_education_system,rep08,108.6957,21.7391
cursor_agent,agent_education_system,rep09,48.9614,8.9021
replit_agent,agent_education_system,rep00,0.0,0.0
replit_agent,agent_education_system,rep01,0.0,0.0
replit_agent,agent_education_system,rep02,0.0,0.0
replit_agent,agent_education_system,rep03,0.0,0.0
replit_agent,agent_education_system,rep04,0.0,0.0
replit_agent,agent_education_system,rep05,0.0,0.0
replit_agent,agent_education_system,rep06,0.0,0.0
replit_agent,agent_education_system,rep07,0.0,0.0
replit_agent,agent_education_system,rep08,0.0,0.0
replit_agent,agent_education_system,rep09,0.0,0.0
antigravity,data_pipeline,rep00,0.0,0.0
antigravity,data_pipeline,rep01,0.0,0.0
antigravity,data_pipeline,rep02,0.0,0.0
antigravity,data_pipeline,rep03,0.0,0.0
antigravity,data_pipeline,rep04,0.0,0.0
antigravity,data_pipeline,rep05,0.0,0.0
antigravity,data_pipeline,rep06,0.0,0.0
antigravity,data_pipeline,rep07,0.0,0.0
antigravity,data_pipeline,rep08,0.0,0.0
antigravity,data_pipeline,rep09,0.0,0.0
claude_code,data_pipeline,rep00,0.0,0.0
claude_code,data_pipeline,rep01,36.5297,9.1324
claude_code,data_pipeline,rep02,32.1101,4.5872
claude_code,data_pipeline,rep03,47.619,7.9365
claude_code,data_pipeline,rep04,45.1389,6.9444
claude_code,data_pipeline,rep05,0.0,0.0
claude_code,data_pipeline,rep06,0.0,0.0
claude_code,data_pipeline,rep07,42.735,4.2735
claude_code,data_pipeline,rep08,0.0,0.0
claude_code,data_pipeline,rep09,38.2979,4.2553
cursor_agent,data_pipeline,rep00,42.1875,1.5625
cursor_agent,data_pipeline,rep01,0.0,0.0
cursor_agent,data_pipeline,rep02,26.3591,1.6474
cursor_agent,data_pipeline,rep03,53.8462,0.0
cursor_agent,data_pipeline,rep04,0.0,0.0
cursor_agent,data_pipeline,rep05,0.0,0.0
cursor_agent,data_pipeline,rep06,33.4448,0.0
cursor_agent,data_pipeline,rep07,32.3488,0.0
cursor_agent,data_pipeline,rep08,0.0,0.0
cursor_agent,data_pipeline,rep09,29.4118,3.268
replit_agent,data_pipeline,rep00,0.0,0.0
replit_agent,data_pipeline,rep01,0.0,0.0
replit_agent,data_pipeline,rep02,0.0,0.0
replit_agent,data_pipeline,rep03,0.0,0.0
replit_agent,data_pipeline,rep04,0.0,0.0
replit_agent,data_pipeline,rep05,0.0,0.0
replit_agent,data_pipeline,rep06,0.0,0.0
replit_agent,data_pipeline,rep07,0.0,0.0
replit_agent,data_pipeline,rep08,0.0,0.0
replit_agent,data_pipeline,rep09,0.0,0.0
antigravity,internal_tool_cli,rep00,0.0,0.0
antigravity,internal_tool_cli,rep01,0.0,0.0
antigravity,internal_tool_cli,rep02,0.0,0.0
antigravity,internal_tool_cli,rep03,0.0,0.0
antigravity,internal_tool_cli,rep04,0.0,0.0
antigravity,internal_tool_cli,rep05,0.0,0.0
antigravity,internal_tool_cli,rep06,0.0,0.0
antigravity,internal_tool_cli,rep07,0.0,0.0
antigravity,internal_tool_cli,rep08,0.0,0.0
antigravity,internal_tool_cli,rep09,0.0,0.0
claude_code,internal_tool_cli,rep00,0.0,0.0
claude_code,internal_tool_cli,rep01,0.0,0.0
claude_code,internal_tool_cli,rep02,0.0,0.0
claude_code,internal_tool_cli,rep03,0.0,0.0
claude_code,internal_tool_cli,rep04,0.0,0.0
claude_code,internal_tool_cli,rep05,0.0,0.0
claude_code,internal_tool_cli,rep06,0.0,0.0
claude_code,internal_tool_cli,rep07,0.0,0.0
claude_code,internal_tool_cli,rep08,0.0,0.0
claude_code,internal_tool_cli,rep09,0.0,0.0
cursor_agent,internal_tool_cli,rep00,50.9709,4.8544
cursor_agent,internal_tool_cli,rep01,0.0,0.0
cursor_agent,internal_tool_cli,rep02,50.9709,4.8544
cursor_agent,internal_tool_cli,rep03,66.3507,0.0
cursor_agent,internal_tool_cli,rep04,66.3507,0.0
cursor_agent,internal_tool_cli,rep05,66.6667,0.0
cursor_agent,internal_tool_cli,rep06,101.1236,19.6629
cursor_agent,internal_tool_cli,rep07,0.0,0.0
cursor_agent,internal_tool_cli,rep08,101.1236,19.6629
cursor_agent,internal_tool_cli,rep09,0.0,0.0
replit_agent,internal_tool_cli,rep00,0.0,0.0
replit_agent,internal_tool_cli,rep01,0.0,0.0
replit_agent,internal_tool_cli,rep02,0.0,0.0
replit_agent,internal_tool_cli,rep03,0.0,0.0
replit_agent,internal_tool_cli,rep04,0.0,0.0
replit_agent,internal_tool_cli,rep05,0.0,0.0
replit_agent,internal_tool_cli,rep06,0.0,0.0
replit_agent,internal_tool_cli,rep07,0.0,0.0
replit_agent,internal_tool_cli,rep08,0.0,0.0
replit_agent,internal_tool_cli,rep09,0.0,0.0
